종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시가총액
삼성전자,005930,104400,하락,-0.10%,4289748,445208,6180102
SK하이닉스,000660,538500,하락,-2.45%,1304850,701090,3920293
LG에너지솔루션,373220,413500,하락,-1.08%,109894,45742,967590
삼성바이오로직스,207940,1660000,상승,+0.36%,12707,21265,768430
현대차,005380,280000,상승,+5.07%,717075,198096,573322
두산에너빌리티,034020,79450,상승,+1.34%,2261121,180463,508926
KB금융,105560,130000,하락,-1.29%,268560,34965,495901
기아,000270,119700,상승,+0.93%,455988,54234,467324
HD현대중공업,329180,521000,하락,-2.43%,39353,20657,462508
한화에어로스페이스,012450,856000,하락,-1.15%,49687,42951,441383
셀트리온,068270,182700,하락,-0.33%,176041,32341,421966
삼성물산,028260,240000,하락,-2.24%,208454,50068,407944
SK스퀘어,402340,302500,하락,-2.58%,156396,46760,400936
NAVER,035420,245500,하락,-0.41%,206387,50841,385073
신한지주,055550,79000,하락,-1.13%,349868,27714,383541
한화오션,042660,106500,하락,-1.57%,414509,44458,326330
한국전력,015760,50600,하락,-0.78%,1553918,77983,324834
현대모비스,012330,344000,상승,+7.67%,342738,115376,312120
삼성생명,032830,155400,하락,-0.70%,52322,8162,310800
HD한국조선해양,009540,416000,하락,-1.65%,31857,13287,294416
HD현대일렉트릭,267260,798000,하락,-2.68%,44598,35815,287656
LG화학,051910,377500,하락,-0.66%,55183,20820,266486
카카오,035720,59800,하락,-1.32%,606326,36383,264546
하나금융지주,086790,94800,하락,-1.25%,167611,15994,263853
고려아연,010130,1298000,하락,-0.99%,10130,13270,251076
POSCO홀딩스,005490,305500,하락,-0.97%,76277,23334,247250
삼성SDI,006400,299500,하락,-1.80%,163394,49187,241354
삼성화재,000810,492500,하락,-0.20%,14544,7177,226605
삼성중공업,010140,24600,하락,-0.40%,771367,19053,216480
우리금융지주,316140,28250,하락,-0.88%,732005,20798,207377
삼성전기,009150,263000,상승,+0.77%,243054,63435,196444
메리츠금융지주,138040,110000,하락,-0.72%,61642,6812,192744
SK이노베이션,096770,113700,하락,-1.90%,89275,10216,192213
SK,034730,265000,하락,-0.75%,41420,10951,192132
HMM,011200,20000,하락,-0.74%,553294,11186,188648
현대로템,064350,171900,하락,-1.55%,213066,36898,187616
포스코퓨처엠,003670,203500,하락,-1.21%,54537,11206,181006
효성중공업,298040,1859000,하락,-1.90%,19025,35716,173343
KT&G,033780,142900,하락,-1.24%,48266,6909,168589
기업은행,024110,21050,상승,+0.96%,194850,4073,167858
HD현대,267250,205000,상승,+2.24%,59097,12046,161936
LG전자,066570,93500,상승,+4.47%,642784,59113,152299
LS ELECTRIC,010120,487000,상승,+1.78%,93515,45550,146100
두산,000150,886000,하락,-1.12%,29837,26203,143477
