종목명,code,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
,,,,,,,
삼성전자,005930,"103,400","하락1,100",-1.05%,"2,698,518","280,063","6,120,906"
SK하이닉스,000660,"532,000","하락20,000",-3.62%,"975,515","524,715","3,872,973"
LG에너지솔루션,373220,"415,500","하락2,500",-0.60%,"47,102","19,698","972,270"
삼성바이오로직스,207940,"1,669,000","상승15,000",+0.91%,"8,752","14,687","772,596"
현대차,005380,"277,000","상승10,500",+3.94%,"375,019","102,967","567,179"
두산에너빌리티,034020,"79,000",상승600,+0.77%,"1,816,914","145,295","506,043"
KB금융,105560,"130,400","하락1,300",-0.99%,"184,606","24,043","497,427"
기아,000270,"118,900",상승300,+0.25%,"264,029","31,334","464,201"
HD현대중공업,329180,"523,000","하락11,000",-2.06%,"23,214","12,242","464,283"
한화에어로스페이스,012450,"865,000","하락1,000",-0.12%,"38,795","33,598","446,023"
,,,,,,,
,,,,,,,
,,,,,,,
셀트리온,068270,"183,600",상승300,+0.16%,"100,722","18,524","424,044"
삼성물산,028260,"239,000","하락6,500",-2.65%,"146,832","35,326","406,244"
SK스퀘어,402340,"294,500","하락16,000",-5.15%,"91,628","27,462","390,333"
NAVER,035420,"246,500",보합0,0.00%,"159,507","39,283","386,642"
신한지주,055550,"79,200",하락700,-0.88%,"222,811","17,681","384,512"
한화오션,042660,"106,700","하락1,500",-1.39%,"314,500","33,793","326,943"
한국전력,015760,"50,300",하락700,-1.37%,"1,217,316","61,070","322,908"
삼성생명,032830,"156,500",보합0,0.00%,"20,910","3,256","313,000"
현대모비스,012330,"340,000","상승20,500",+6.42%,"227,935","76,156","308,491"
HD한국조선해양,009540,"415,500","하락7,500",-1.77%,"21,582","9,017","294,062"
,,,,,,,
,,,,,,,
,,,,,,,
HD현대일렉트릭,267260,"796,000","하락24,000",-2.93%,"29,381","23,717","286,935"
하나금융지주,086790,"95,500",하락500,-0.52%,"88,390","8,464","265,801"
카카오,035720,"60,000",하락600,-0.99%,"394,169","23,678","265,430"
LG화학,051910,"375,500","하락4,500",-1.18%,"32,607","12,339","265,074"
고려아연,010130,"1,331,000","상승20,000",+1.53%,"6,049","7,935","257,459"
POSCO홀딩스,005490,"305,500","하락3,000",-0.97%,"54,968","16,833","247,250"
삼성SDI,006400,"301,000","하락4,000",-1.31%,"94,859","28,697","242,562"
삼성화재,000810,"494,500","상승1,000",+0.20%,"9,357","4,614","227,525"
삼성중공업,010140,"24,700",보합0,0.00%,"408,968","10,105","217,360"
우리금융지주,316140,"28,400",하락100,-0.35%,"544,784","15,496","208,478"
,,,,,,,
,,,,,,,
,,,,,,,
메리츠금융지주,138040,"110,800",보합0,0.00%,"30,041","3,318","194,146"
삼성전기,009150,"259,500","하락1,500",-0.57%,"148,127","38,565","193,830"
SK이노베이션,096770,"114,100","하락1,800",-1.55%,"54,741","6,283","192,889"
SK,034730,"264,250","하락2,750",-1.03%,"24,792","6,548","191,588"
HMM,011200,"20,250",상승100,+0.50%,"433,255","8,775","191,006"
현대로템,064350,"172,100","하락2,500",-1.43%,"164,629","28,582","187,834"
포스코퓨처엠,003670,"205,000","하락1,000",-0.49%,"38,124","7,856","182,340"
효성중공업,298040,"1,868,000","하락27,000",-1.42%,"11,244","21,310","174,183"
KT&G,033780,"143,100","하락1,600",-1.11%,"32,337","4,626","168,825"
기업은행,024110,"20,900",상승50,+0.24%,"72,683","1,517","166,662"
,,,,,,,
,,,,,,,
,,,,,,,
HD현대,267250,"202,500","상승2,000",+1.00%,"35,728","7,281","159,961"
LG전자,066570,"92,400","상승2,900",+3.24%,"351,977","32,145","150,507"
LS ELECTRIC,010120,"485,000","상승6,500",+1.36%,"62,894","30,651","145,500"
두산,000150,"872,000","하락24,000",-2.68%,"16,050","14,155","141,210"
삼성에피스홀딩스,0126,"561,000","상승12,000",+2.19%,"811,938","448,679","139,594"
삼성에스디에스,018260,"173,300","상승1,200",+0.70%,"24,599","4,260","134,096"
현대글로비스,086280,"178,900","상승9,000",+5.30%,"158,631","28,085","134,175"
KT,030200,"52,800",하락200,-0.38%,"63,074","3,345","133,067"
미래에셋증권,006800,"22,000",하락250,-1.12%,"764,866","16,827","125,470"
LG,003550,"81,100",하락300,-0.37%,"27,423","2,219","125,074"
,,,,,,,
,,,,,,,
,,,,,,,
하이브,352820,"293,000","하락3,000",-1.01%,"25,910","7,608","124,707"
크래프톤,259960,"247,500","하락4,500",-1.79%,"13,593","3,386","117,320"
SK텔레콤,017670,"53,700",하락200,-0.37%,"42,711","2,294","115,342"
한미반도체,042700,"117,200","하락4,300",-3.54%,"365,494","43,290","111,706"
SK바이오팜,326030,"134,500","하락1,000",-0.74%,"42,611","5,766","105,331"
카카오뱅크,323410,"21,750",하락200,-0.91%,"130,322","2,829","103,745"
한국항공우주,047810,"106,100","하락1,200",-1.12%,"72,951","7,734","103,421"
삼양식품,003230,"1,312,000","하락22,000",-1.65%,"6,583","8,695","98,833"
포스코인터내셔널,047050,"54,200","하락1,000",-1.81%,"60,576","3,308","95,350"
유한양행,000100,"118,200","하락1,200",-1.01%,"98,145","11,648","94,523"
,,,,,,,
,,,,,,,
,,,,,,,
에이피알,278470,"248,000","상승3,000",+1.22%,"81,393","20,352","92,828"
한국금융지주,071050,"163,900",하락600,-0.36%,"46,966","7,722","91,335"
S-Oil,010950,"80,500",하락400,-0.49%,"32,489","2,625","90,629"
DB손해보험,005830,"126,000","하락1,400",-1.10%,"17,092","2,162","89,208"
한화시스템,272210,"46,300",하락500,-1.07%,"237,865","11,060","87,470"
HD현대마린솔루션,443060,"188,800","상승1,000",+0.53%,"14,461","2,720","84,638"
대한항공,003490,"22,400",보합0,0.00%,"215,608","4,822","82,481"
LIG넥스원,079550,"370,500","하락4,000",-1.07%,"17,836","6,663","81,510"
한국타이어앤테크놀로지,161390,"62,100","하락1,100",-1.74%,"100,542","6,263","76,926"
현대건설,000720,"68,300","하락2,200",-3.12%,"945,041","65,198","76,056"
,,,,,,,
,,,,,,,
,,,,,,,
NH투자증권,005940,"21,250",상승50,+0.24%,"115,048","2,448","75,723"
키움증권,039490,"283,000","하락3,500",-1.22%,"10,023","2,822","75,228"
아모레퍼시픽,090430,"124,200","하락1,000",-0.80%,"27,012","3,370","72,648"
삼성증권,016360,"80,800",하락900,-1.10%,"55,290","4,490","72,154"
한진칼,180640,"104,800","하락4,100",-3.76%,"13,092","1,374","69,967"
카카오페이,377300,"48,550",하락700,-1.42%,"54,372","2,648","65,610"
LG유플러스,032640,"15,180",하락60,-0.39%,"129,034","1,962","65,248"
LG이노텍,011070,"272,500","상승1,500",+0.55%,"26,849","7,271","64,493"
LG디스플레이,034220,"12,670",하락120,-0.94%,"177,142","2,242","63,350"
코웨이,021240,"87,300",상승900,+1.04%,"19,364","1,685","62,777"
,,,,,,,
,,,,,,,
,,,,,,,
삼성카드,029780,"53,300","하락1,100",-2.02%,"10,289",553,"61,753"
한화,000880,"80,250","하락1,350",-1.65%,"27,778","2,235","60,154"
LS,006260,"186,300","상승6,100",+3.39%,"46,387","8,507","59,057"
두산밥캣,241560,"59,100",하락200,-0.34%,"67,681","4,027","56,651"
한미약품,128940,"428,000","하락6,000",-1.38%,"22,997","9,815","54,831"
CJ,001040,"187,300",하락500,-0.27%,"29,654","5,518","54,649"
GS,078930,"58,400",하락100,-0.17%,"24,243","1,418","54,263"
두산로보틱스,454910,"80,700","상승4,000",+5.22%,"333,858","26,916","52,310"
엘앤에프,066970,"127,000",상승100,+0.08%,"113,507","14,517","50,368"
삼성E&A,028050,"25,600",하락400,-1.54%,"106,681","2,743","50,176"
,,,,,,,
,,,,,,,
,,,,,,,
BNK금융지주,138930,"15,490",하락110,-0.71%,"216,664","3,349","48,704"
한화솔루션,009830,"27,800",하락150,-0.54%,"78,932","2,197","47,786"
JB금융지주,175330,"24,950",상승50,+0.20%,"59,069","1,477","47,376"
엔씨소프트,036570,"211,000","하락5,000",-2.31%,"27,774","5,841","45,458"
넷마블,251270,"52,200","하락1,300",-2.43%,"35,776","1,857","44,868"
